               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077587,            0.033383,                   0,                   0,                   0,                   0,                   0,            0.028695,            0.027395,                   0,                 0.1,                   0,                   0
                   1,            0.083452,            0.030884,                   0,                   0,                   0,                   0,                   0,            0.025822,            0.029264,                   0,            0.099098,           9.802e-05,           9.802e-05
                   2,            0.084421,            0.033463,                   0,           0.0033333,                   1,           0.0035536,          0.00035536,            0.026091,            0.029124,                   0,            0.098192,          0.00019208,          0.00019208
                   3,             0.07856,            0.036661,                   0,           0.0033333,                   1,           0.0035663,          0.00035663,            0.026073,            0.029004,                   0,            0.097282,          0.00028218,          0.00028218
                   4,            0.073381,            0.028435,                   0,           0.0033333,                   1,           0.0033729,          0.00033729,            0.026792,             0.02877,                   0,            0.096368,          0.00036832,          0.00036832
                   5,            0.082492,            0.028235,                   0,           0.0033333,                   1,           0.0066779,           0.0020034,            0.027794,            0.028479,                   0,            0.095451,           0.0004505,           0.0004505
                   6,             0.08092,            0.032037,                   0,           0.0033333,                   1,            0.014851,           0.0044552,            0.027849,            0.028246,                   0,            0.094529,          0.00052872,          0.00052872
                   7,            0.079243,            0.029539,                   0,           0.0033333,                   1,            0.055278,            0.017284,            0.027548,            0.028255,                   0,            0.093603,          0.00060298,          0.00060298
                   8,             0.07892,            0.029575,                   0,           0.0033333,                   1,            0.014851,           0.0029701,            0.025852,            0.028136,                   0,            0.092673,          0.00067328,          0.00067328
                   9,            0.035433,            0.028692,                   0,           0.0033333,                   1,            0.010051,           0.0030152,            0.024663,            0.028068,                   0,             0.09174,          0.00073962,          0.00073962
                  10,             0.07683,            0.031328,                   0,           0.0033333,                   1,           0.0047381,          0.00091214,             0.02284,            0.027947,                   0,            0.090802,            0.000802,            0.000802
                  11,             0.13498,            0.030798,                   0,           0.0033333,                   1,            0.004345,           0.0004345,            0.021484,            0.027757,                   0,             0.08986,          0.00086042,          0.00086042
                  12,             0.07643,            0.032069,                   0,           0.0033333,                   1,           0.0041632,          0.00041632,            0.021993,            0.027422,                   0,            0.088915,          0.00091488,          0.00091488
                  13,            0.075606,            0.032792,                   0,                   0,                   0,                   0,                   0,            0.024194,             0.02733,                   0,            0.087965,          0.00096538,          0.00096538
                  14,            0.054806,            0.028812,                   0,                   0,                   0,                   0,                   0,            0.022272,            0.027912,                   0,            0.087012,           0.0010119,           0.0010119
                  15,            0.077716,            0.027901,                   0,                   0,                   0,                   0,                   0,            0.028066,            0.026549,                   0,            0.086055,           0.0010545,           0.0010545
                  16,            0.078904,            0.032157,                   0,           0.0033333,                   1,           0.0044027,          0.00044027,             0.03021,            0.025397,                   0,            0.085093,           0.0010931,           0.0010931
                  17,            0.077561,            0.030456,                   0,           0.0033333,                   1,           0.0044027,          0.00044027,             0.03021,            0.025397,                   0,            0.084128,           0.0011278,           0.0011278
                  18,            0.074355,            0.028743,                   0,           0.0033333,                   1,           0.0044619,          0.00089238,            0.030502,            0.025115,                   0,            0.083158,           0.0011585,           0.0011585
                  19,            0.070562,            0.032485,                   0,           0.0033333,                   1,           0.0044619,          0.00089238,            0.030502,            0.025115,                   0,            0.082185,           0.0011852,           0.0011852
                  20,            0.074577,            0.030958,                   0,                   0,                   0,                   0,                   0,            0.037246,            0.023169,                   0,            0.081208,            0.001208,            0.001208
                  21,            0.078972,            0.031782,                   0,                   0,                   0,                   0,                   0,            0.037246,            0.023169,                   0,            0.080227,           0.0012268,           0.0012268
                  22,            0.075091,            0.030816,                   0,           0.0033333,                   1,           0.0035791,          0.00035791,            0.036554,            0.023129,                   0,            0.079242,           0.0012417,           0.0012417
                  23,            0.074663,             0.03652,                   0,           0.0033333,                   1,           0.0035791,          0.00035791,            0.036554,            0.023129,                   0,            0.078253,           0.0012526,           0.0012526
                  24,            0.072259,            0.036051,                   0,                   0,                   0,                   0,                   0,             0.03582,            0.023202,                   0,             0.07726,           0.0012595,           0.0012595
                  25,            0.072492,            0.032688,                   0,                   0,                   0,                   0,                   0,             0.03582,            0.023202,                   0,            0.076263,           0.0012625,           0.0012625
                  26,            0.069491,            0.033634,                   0,                   0,                   0,                   0,                   0,            0.032515,            0.023035,                   0,            0.075262,           0.0012615,           0.0012615
                  27,            0.071337,            0.029668,                   0,                   0,                   0,                   0,                   0,            0.032515,            0.023035,                   0,            0.074257,           0.0012566,           0.0012566
                  28,             0.12303,            0.040728,                   0,           0.0033333,                   1,           0.0045227,          0.00045227,            0.027054,            0.024316,                   0,            0.073248,           0.0012477,           0.0012477
                  29,            0.076415,            0.024221,                   0,           0.0033333,                   1,           0.0045227,          0.00045227,            0.027054,            0.024316,                   0,            0.072235,           0.0012348,           0.0012348
                  30,            0.028722,            0.024894,                   0,                   0,                   0,                   0,                   0,              0.0344,             0.02268,                   0,            0.071218,            0.001218,            0.001218
                  31,            0.059413,            0.028888,                   0,                   0,                   0,                   0,                   0,              0.0344,             0.02268,                   0,            0.070197,           0.0011972,           0.0011972
                  32,            0.029713,            0.025438,                   0,                   0,                   0,                   0,                   0,            0.033527,            0.022791,                   0,            0.069172,           0.0011725,           0.0011725
                  33,            0.063362,            0.024902,                   0,                   0,                   0,                   0,                   0,            0.033527,            0.022791,                   0,            0.068144,           0.0011438,           0.0011438
                  34,            0.071717,            0.031693,                   0,                   0,                   0,                   0,                   0,            0.031328,             0.02282,                   0,            0.067111,           0.0011111,           0.0011111
                  35,            0.074327,            0.029353,                   0,                   0,                   0,                   0,                   0,            0.031328,             0.02282,                   0,            0.066075,           0.0010745,           0.0010745
                  36,             0.02988,            0.025077,                   0,           0.0033333,                   1,           0.0098515,           0.0039406,            0.026193,            0.024256,                   0,            0.065034,           0.0010339,           0.0010339
                  37,            0.027147,            0.024355,                   0,           0.0033333,                   1,           0.0098515,           0.0039406,            0.026193,            0.024256,                   0,            0.063989,          0.00098938,          0.00098938
                  38,            0.059921,            0.031098,                   0,           0.0033333,                   1,           0.0080894,           0.0024268,            0.025769,            0.024999,                   0,            0.062941,          0.00094088,          0.00094088
                  39,            0.024245,            0.024965,                   0,           0.0033333,                   1,           0.0080894,           0.0024268,            0.025769,            0.024999,                   0,            0.061888,          0.00088842,          0.00088842
                  40,            0.071029,            0.029868,                   0,                   0,                   0,                   0,                   0,             0.02464,            0.025013,                   0,            0.060832,            0.000832,            0.000832
                  41,             0.12619,            0.026965,                   0,                   0,                   0,                   0,                   0,             0.02464,            0.025013,                   0,            0.059772,          0.00077162,          0.00077162
                  42,            0.067659,            0.028655,                   0,                   0,                   0,                   0,                   0,            0.026346,            0.024345,                   0,            0.058707,          0.00070728,          0.00070728
                  43,            0.067313,            0.034803,                   0,                   0,                   0,                   0,                   0,            0.026346,            0.024345,                   0,            0.057639,          0.00063898,          0.00063898
                  44,               0.116,            0.028564,                   0,                   0,                   0,                   0,                   0,            0.026163,            0.024615,                   0,            0.056567,          0.00056672,          0.00056672
                  45,            0.061696,            0.033707,                   0,                   0,                   0,                   0,                   0,            0.026163,            0.024615,                   0,             0.05549,           0.0004905,           0.0004905
                  46,            0.057272,            0.029487,                   0,                   0,                   0,                   0,                   0,            0.026654,            0.024826,                   0,             0.05441,          0.00041032,          0.00041032
                  47,             0.03127,            0.024818,                   0,                   0,                   0,                   0,                   0,            0.026654,            0.024826,                   0,            0.053326,          0.00032618,          0.00032618
                  48,            0.063675,            0.026902,                   0,                   0,                   0,                   0,                   0,            0.026846,            0.024991,                   0,            0.052238,          0.00023808,          0.00023808
                  49,             0.06109,             0.02953,                   0,                   0,                   0,                   0,                   0,            0.026846,            0.024991,                   0,            0.051146,          0.00014602,          0.00014602
