               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.067243,            0.022926,            0.025723,          0.00041254,             0.16667,           0.0046885,           0.0011649,            0.028403,            0.022345,             0.01343,              0.0937,              0.0007,              0.0007
                   1,            0.050812,            0.019753,            0.020831,          0.00058318,             0.38095,           0.0096424,           0.0037374,            0.027466,            0.016926,            0.013137,             0.08647,           0.0014703,           0.0014703
                   2,            0.048251,            0.016797,            0.019974,           0.0012327,             0.56349,           0.0070843,           0.0021696,            0.020739,            0.015845,            0.012431,            0.079209,           0.0022089,           0.0022089
                   3,            0.041803,            0.014698,            0.018147,           0.0014034,                   1,            0.026155,            0.009584,            0.020404,            0.013151,             0.01157,            0.071916,           0.0029159,           0.0029159
                   4,            0.044035,            0.013339,            0.018092,           0.0011582,             0.83333,            0.012133,            0.003381,            0.021608,            0.011226,            0.012747,            0.064591,           0.0035911,           0.0035911
                   5,            0.044697,            0.011985,            0.018517,            0.001276,             0.83333,             0.24706,             0.11759,            0.022381,           0.0095655,            0.013334,            0.057235,           0.0042347,           0.0042347
                   6,            0.040028,           0.0098596,            0.010926,           0.0011488,             0.90476,             0.09877,            0.031546,            0.025137,           0.0083528,            0.013651,            0.049847,           0.0048466,           0.0048466
                   7,            0.049927,           0.0092176,              0.0178,           0.0011067,             0.78571,              0.2062,            0.075063,            0.023962,           0.0072649,           0.0099923,            0.042427,           0.0054268,           0.0054268
                   8,             0.04517,           0.0081959,            0.015189,           0.0011041,             0.78571,             0.20646,             0.07542,            0.024885,           0.0064112,           0.0098201,            0.034975,           0.0059754,           0.0059754
                   9,            0.045891,           0.0078078,            0.012801,             0.02342,             0.38095,             0.25028,              0.1546,            0.028368,           0.0058725,            0.010778,            0.027492,           0.0064922,           0.0064922
                  10,            0.046655,           0.0069701,            0.015415,           0.0011501,             0.78571,             0.15317,            0.063817,            0.019497,           0.0056719,            0.011042,            0.019977,           0.0069774,           0.0069774
                  11,             0.03867,           0.0071154,            0.013983,           0.0012945,             0.83333,            0.088349,            0.037321,             0.01934,           0.0056868,           0.0094696,            0.012431,           0.0074309,           0.0074309
                  12,            0.040894,           0.0068249,            0.010844,           0.0011812,             0.83333,            0.056526,            0.024689,            0.022094,           0.0050395,           0.0078104,            0.007624,            0.007624,            0.007624
                  13,            0.045233,           0.0057503,            0.012313,           0.0010619,              0.6746,            0.054346,            0.028097,             0.01945,           0.0046072,           0.0074334,            0.007624,            0.007624,            0.007624
                  14,            0.041509,           0.0064849,            0.016051,           0.0019288,              0.6746,            0.097938,             0.04115,            0.019344,           0.0039762,           0.0085353,            0.007426,            0.007426,            0.007426
                  15,            0.035194,           0.0052837,            0.011109,           0.0053447,             0.78571,              0.1153,            0.054937,             0.01944,           0.0037393,           0.0084308,            0.007228,            0.007228,            0.007228
